iter	RMSE
0	0.479731178
1	0.4796189033
2	0.4795064807
3	0.4793916695
4	0.479279667
5	0.4791664905
6	0.4790519925
7	0.4789389636
8	0.4788276003
9	0.478715643
10	0.4786029785
11	0.4784873093
12	0.4783737537
13	0.478262858
14	0.4781544248
15	0.4780411849
16	0.477930414
17	0.4778191344
18	0.4777097121
19	0.4776076973
20	0.4774998621
21	0.4773859078
22	0.4772775399
23	0.4771692
24	0.4770595273
25	0.4769463875
26	0.4768390661
27	0.4767319864
28	0.4766217826
29	0.476509809
30	0.4763996651
31	0.4762884427
32	0.4761801019
33	0.4760742626
34	0.4759673925
35	0.4758624487
36	0.475753737
37	0.4756441052
38	0.4755419787
39	0.4754391134
40	0.4753379712
41	0.4752302095
42	0.4751265713
43	0.4750222745
44	0.4749218489
45	0.474818257
46	0.4747126141
47	0.4746075543
48	0.4745013506
49	0.4744057604
50	0.4743109911
51	0.4742085457
52	0.4741072379
53	0.4740100827
54	0.4739086401
55	0.4738087474
56	0.4737052385
57	0.4736035517
58	0.4735102861
59	0.4734143728
60	0.4733229809
61	0.473226756
62	0.4731287212
63	0.4730318545
64	0.4729349234
65	0.4728386335
66	0.4727452383
67	0.4726457794
68	0.4725481732
69	0.4724471118
70	0.4723563086
71	0.4722566296
72	0.472158944
73	0.4720596675
74	0.4719591975
75	0.4718610093
76	0.4717592261
77	0.4716631775
78	0.471570043
79	0.4714742011
80	0.4713812646
81	0.4712824119
82	0.4711864894
83	0.4710886597
84	0.4709903932
85	0.4709011314
86	0.4708052604
87	0.4707124393
88	0.4706167468
89	0.4705258784
90	0.4704311393
91	0.4703362598
92	0.4702459431
93	0.4701519174
94	0.4700608089
95	0.4699725742
96	0.4698808325
97	0.4697900963
98	0.4696963589
99	0.469607618
100	0.4695158541
101	0.4694256446
102	0.469336548
103	0.4692553865
104	0.4691652848
105	0.4690732111
106	0.4689833981
107	0.4689012459
108	0.4688147161
109	0.4687301919
110	0.4686400413
111	0.4685542548
112	0.4684638173
113	0.4683761934
114	0.4682957389
115	0.4682057912
116	0.4681131412
117	0.4680287674
118	0.4679416691
119	0.4678550088
120	0.4677710328
121	0.4676819177
122	0.4675962871
123	0.4675127633
124	0.4674279116
125	0.4673410685
126	0.4672520457
127	0.4671703322
128	0.467088029
129	0.4670019805
130	0.4669221241
131	0.466835687
132	0.4667540184
133	0.4666704365
134	0.4665845075
135	0.4665036269
136	0.4664221597
137	0.4663415232
138	0.4662585956
139	0.4661792695
140	0.4661010602
141	0.4660225278
142	0.4659426737
143	0.4658598572
144	0.4657785296
145	0.4656974463
146	0.4656174465
147	0.4655371802
148	0.4654552667
149	0.4653740253
150	0.4652944894
151	0.4652138931
152	0.46513084
153	0.4650459002
154	0.464964872
155	0.4648893337
156	0.4648110778
157	0.4647297676
158	0.4646515819
159	0.4645747628
160	0.4644947222
161	0.4644169214
162	0.4643378121
163	0.4642607352
164	0.4641862751
165	0.464109476
166	0.4640410373
167	0.4639662525
168	0.463886907
169	0.4638106176
170	0.4637371751
171	0.4636609521
172	0.4635817764
173	0.4635104034
174	0.4634328625
175	0.4633593693
176	0.4632832904
177	0.4632080146
178	0.4631336933
179	0.4630585237
180	0.4629859095
181	0.4629138248
182	0.4628395448
183	0.4627675989
184	0.4626913543
185	0.4626189818
186	0.4625457326
187	0.4624745398
188	0.4624013955
189	0.4623343992
190	0.4622617615
191	0.4621917326
192	0.4621169427
193	0.4620456599
194	0.4619741875
195	0.461904362
196	0.4618326274
197	0.4617679919
198	0.461697451
199	0.4616293958
200	0.4615578179
201	0.4614882266
202	0.4614175757
203	0.4613466998
204	0.4612770256
205	0.4612070097
206	0.4611370782
207	0.4610696935
208	0.4609986008
