iter	Passed	Remaining
0	82	147410
1	133	119604
2	172	102818
3	212	95227
4	251	90009
5	289	86278
6	326	83339
7	360	80481
8	398	79083
9	437	78055
10	469	76187
11	498	74030
12	537	73686
13	571	72686
14	602	71512
15	621	69118
16	644	67357
17	679	67075
18	706	66066
19	745	66131
20	769	65033
21	809	65199
22	842	64903
23	873	64490
24	896	63445
25	925	62982
26	956	62636
27	996	62882
28	1032	62891
29	1056	62168
30	1086	61815
31	1113	61363
32	1146	61237
33	1188	61545
34	1208	60776
35	1231	60162
36	1254	59613
37	1294	59855
38	1333	60023
39	1372	60203
40	1396	59731
41	1436	59971
42	1479	60279
43	1519	60460
44	1554	60457
45	1581	60143
46	1616	60123
47	1643	59811
48	1666	59365
49	1691	59029
50	1718	58751
51	1756	58888
52	1784	58639
53	1815	58527
54	1837	58136
55	1866	57974
56	1909	58218
57	1947	58317
58	1978	58229
59	2003	57938
60	2030	57714
61	2051	57338
62	2091	57513
63	2126	57515
64	2151	57270
65	2171	56886
66	2205	56876
67	2230	56656
68	2258	56505
69	2300	56696
70	2332	56638
71	2368	56681
72	2397	56547
73	2428	56479
74	2469	56629
75	2506	56682
76	2543	56741
77	2579	56783
78	2602	56530
79	2636	56513
80	2672	56547
81	2703	56478
82	2743	56581
83	2770	56427
84	2804	56427
85	2831	56276
86	2871	56382
87	2905	56362
88	2933	56228
89	2986	56573
90	3025	56647
91	3059	56631
92	3076	56301
93	3104	56180
94	3123	55896
95	3162	55964
96	3185	55762
97	3222	55808
98	3258	55823
99	3277	55555
100	3308	55484
101	3347	55561
102	3369	55350
103	3401	55306
104	3439	55354
105	3476	55398
106	3504	55290
107	3532	55183
108	3555	54989
109	3578	54813
110	3613	54813
111	3646	54795
112	3670	54635
113	3690	54414
114	3724	54416
115	3751	54297
116	3775	54151
117	3804	54074
118	3837	54050
119	3870	54025
120	3897	53925
121	3930	53902
122	3965	53910
123	4000	53908
124	4031	53857
125	4064	53842
126	4089	53711
127	4123	53705
128	4147	53563
129	4180	53545
130	4205	53422
131	4243	53457
132	4276	53435
133	4298	53277
134	4336	53322
135	4375	53369
136	4402	53276
137	4434	53242
138	4471	53276
139	4504	53250
140	4533	53181
141	4563	53126
142	4581	52928
143	4604	52786
144	4643	52837
145	4682	52888
146	4717	52888
147	4743	52787
148	4782	52829
149	4819	52853
150	4853	52847
151	4872	52670
152	4900	52587
153	4938	52625
154	4967	52554
155	5003	52566
156	5036	52544
157	5073	52563
158	5092	52398
159	5129	52420
160	5161	52385
161	5196	52377
162	5213	52201
163	5236	52075
164	5268	52041
165	5308	52091
166	5327	51931
167	5359	51908
168	5400	51960
169	5429	51897
170	5450	51765
171	5488	51791
172	5513	51692
173	5546	51667
174	5584	51694
175	5616	51661
176	5657	51712
177	5684	51635
178	5718	51628
179	5760	51686
180	5783	51573
181	5822	51599
182	5850	51532
183	5889	51561
184	5918	51503
185	5949	51466
